CustomerId,CreditScore,Gender,Age,Advisor_Age,Retired,Children(Y/N),InvestmentGoal,Tenure,ModeCommunication,Recency,Frequency,Monetory, Large B/P , Large ROE , Large S/P , Large Return Rate in the last quarter , Large Market Value , Small systematic Risk,Annual Return,Excess Return,Systematic Risk,NumOfProducts,NumberOfClients,PortfolioSize,Financial_lit,rating_trust,other_advisors,rating_knowledge,rating_comm,rating_avail,comments,Exited
15634602,619,0,42,54,0,1,Short-term,2,phone,1,2,4,1,0,0,0,0,0,0.139,0.01,1.33,1,9,101348.88,5,3,0,1,1,5,0.628583941,1
15647311,608,0,41,44,0,1,Retirement,1,email,4,4,5,0,1,0,0,0,0,0.143,0.01,1.17,1,11,112542.58,3,5,1,2,2,3,0.609220743,0
15619304,502,0,42,53,0,1,Retirement,8,skype,2,1,2,0,0,1,0,0,0,0.173,0.018,1.3,3,7,113931.57,3,3,1,3,5,3,0.613993894,1
15701354,699,0,39,52,0,0,Retirement,1,skype,4,4,1,0,0,0,1,0,0,0.096,-0.002,1.39,2,8,93826.63,2,4,1,2,5,2,0.583244428,0
15737888,850,0,43,47,0,0,Retirement,2,email,3,2,1,0,0,0,0,1,0,0.096,0.001,1.04,1,24,79084.1,3,5,0,2,4,3,0.354477064,0
15574012,645,1,44,49,0,1,Short-term,8,skype,3,2,4,0,0,0,0,0,1,0.07,-0.005,1.1,2,17,149756.71,3,3,1,3,2,5,0.447156237,1
15592531,822,1,50,39,0,1,Short-term,7,personal,4,4,3,0.5,0.5,0,0,0,0,0.195,0.026,0.97,2,23,10062.8,4,5,1,1,3,5,0.592953347,0
15656148,376,0,29,44,0,1,Short-term,4,email,3,1,2,0.5,0,0.5,0,0,0,0.164,0.016,1.32,4,12,119346.88,3,3,1,1,4,1,-0.440638321,1
15792365,501,1,44,44,0,1,Education,4,email,5,3,2,0,0.5,0.5,0,0,0,0.185,0.022,1.06,2,22,74940.5,2,3,1,2,2,4,-0.456447292,0
15592389,684,1,27,56,0,1,Education,2,email,4,3,5,0.5,0,0,0.5,0,0,0.15,0.015,1.05,1,11,71725.73,5,5,1,3,5,2,0.571576941,0
15767821,528,1,31,42,0,0,Short-term,6,personal,4,2,5,0,0.5,0,0.5,0,0,0.159,0.015,1.17,2,10,80181.12,5,5,1,2,5,5,0.332772288,0
15737173,497,1,24,55,0,0,Short-term,3,personal,4,3,3,0,0,0.5,0.5,0,0,0.17,0.018,1.16,2,23,76390.01,4,3,1,2,4,5,0.332017871,0
15632264,476,0,34,55,0,1,Education,10,skype,3,2,3,0.5,0,0,0,0.5,0,0.14,0.011,1.09,2,25,26260.98,4,4,1,3,4,5,0.607870208,0
15691483,549,0,25,40,0,0,Retirement,5,personal,5,4,3,0,0.5,0,0,0.5,0,0.123,0.008,1.01,2,21,190857.79,3,5,0,3,3,1,0.533165547,0
15600882,635,0,35,46,0,0,Education,7,email,2,3,5,0,0,0.5,0,0.5,0,0.145,0.013,1.07,2,22,65951.65,5,3,1,1,1,2,-0.457923729,0
15643966,616,1,45,45,0,1,Short-term,3,phone,5,2,3,0,0,0,0.5,0.5,0,0.09,-0.001,1.15,2,17,64327.26,4,5,0,1,5,1,0.381312744,0
15737452,653,1,58,50,0,1,Education,1,phone,2,1,1,0.5,0,0,0,0,0.5,0.118,0.009,0.97,1,7,5097.67,4,3,1,2,3,3,0.569051195,1
15788218,549,0,24,59,0,1,Education,9,personal,3,4,3,0,0.5,0,0,0,0.5,0.154,0.017,0.99,2,15,14406.41,5,3,1,3,4,3,0.543284867,0
15661507,587,1,45,51,0,0,Short-term,6,personal,5,5,2,0,0,0.5,0,0,0.5,0.138,0.013,1.04,1,16,158684.81,3,3,1,3,4,2,0.496304272,0
15568982,726,0,24,51,0,1,Retirement,6,email,5,2,2,0,0,0,0.5,0,0.5,0.101,0.003,1.12,2,13,54724.03,5,3,0,3,3,1,0.589467452,0
15577657,732,1,41,48,0,1,Education,8,phone,2,4,1,0,0,0,0,0.5,0.5,0.093,0.001,1.01,2,14,170886.17,4,5,1,3,2,4,0.48804048,0
15597945,636,0,32,42,0,1,Retirement,8,personal,2,5,2,0.333,0.333,0.333,0,0,0,0.192,0.024,1.08,2,18,138555.46,3,4,0,1,4,2,-0.51722876,0
